NUMERO,PONTO,MUNICÍPIO,LAT,LON
1,PEV - WEE.DO LOGISTICA REVERSA DE ELETROELETRONICOS,FLORIANÓPOLIS,-27.61709,-48.66094
2,PEV - COMCAP MORRO DAS PEDRAS,FLORIANÓPOLIS,-27.65073,-48.50569
3,PEV - ESCOLA ENGENHO,FLORIANÓPOLIS,-27.67945,-48.49739
4,PEV - SOTALIA SPORTS,FLORIANÓPOLIS,-27.67214,-48.50377
5,PEV - MULTI OPEN SHOPPING,FLORIANÓPOLIS,-27.65761,-48.48575
6,PEV - PEDRITA,FLORIANÓPOLIS,-27.65073,-48.47897
7,PEV - ESCOLA ALBERTINA,FLORIANÓPOLIS,-27.46453,-48.44893
8,PEV - SAPIENS PARQUE,FLORIANÓPOLIS,-27.4308,-48.44219
9,PEV - COMCAP CANASVIEIRAS,FLORIANÓPOLIS,-27.43173,-48.45364
10,PEV - JURERÊ SPORT CENTER,FLORIANÓPOLIS,-27.44367,-48.50637
11,PEV - CESUSC,FLORIANÓPOLIS,-27.50015,-48.51447
12,PEV - CORPORATE PARK,FLORIANÓPOLIS,-27.50729,-48.51329
13,PEV - ACATE SEDE,FLORIANÓPOLIS,-27.5449,-48.50034
14,PEV - FLORIPA SHOPPING,FLORIANÓPOLIS,-27.55393,-48.49853
15,PEV - COND. MARINA PARK,FLORIANÓPOLIS,-27.58499,-48.49589
16,PEV - CONDOMÍNIO ITACORUBI 2,FLORIANÓPOLIS,-27.5834,-48.50035
17,PEV - COMCAP ITACORUBI,FLORIANÓPOLIS,-27.57818,-48.51226
18,PEV - FAPESC,FLORIANÓPOLIS,-27.57081,-48.51118
19,PEV - OAB,FLORIANÓPOLIS,-27.57394,-48.53051
20,PEV - PRSC,FLORIANÓPOLIS,-27.57324,-48.53022
21,PEV - PARQUE ECOLÓGICO CÓRREGO GRANDE,FLORIANÓPOLIS,-27.59962,48.51131
22,PEV - COMCAP SACO DOS LIMÕES,FLORIANÓPOLIS,27.6119,-48.53149
23,PEV - REITORIA 1,FLORIANÓPOLIS,-27.60199,-48.52016
24,PEV - MERCADO SEM LIXO,FLORIANÓPOLIS,-27.59494,-48.52018
25,PEV - NSC,FLORIANÓPOLIS,-27.58982,-48.53445
26,PEV - BRDE,FLORIANÓPOLIS,-27.59761,-48.54812
27,PEV - DAUX BOABAID,FLORIANÓPOLIS,-27.59505,-48.55043
28,PEV - ACIF SEDE,FLORIANÓPOLIS,-27.5925,-48.54455
29,PEV - FCDL SEDE,FLORIANÓPOLIS,-27.59045,-48.54572
30,PEV - ELETRÔNICA XTEMAS,FLORIANÓPOLIS,-27.59457,-48.55506
31,PEV - CDL FLORIANÓPOLIS MINI,FLORIANÓPOLIS,-27.59393,-48.55628
32,PEV - INSTITUTO NEXXERA,FLORIANÓPOLIS,-27.59127,-48.55539
33,PEV - PARQUE DA LUZ,FLORIANÓPOLIS,-27.59239,-48.56063
34,PEV - FLORAM,FLORIANÓPOLIS,-27.59078,-48.56121
35,PEV - COMCAP CRTs,FLORIANÓPOLIS,-27.59605,-48.5694
36,PEV - BIBLIOTECA BARREIROS FILHO,FLORIANÓPOLIS,-27.59158,-48.587
37,PEV - COMCAP CAPOEIRAS,FLORIANÓPOLIS,-27.59701,-48.60288
38,PEV - TABELIONATO SÃO JOSÉ,SÃO JOSÉ,-27.58621,-48.61285
39,PEV - ESCOLA ALDO CÂMARA,SÃO JOSÉ,-27.58019,-48.62308
40,PEV - UNIVALI KOBRASOL,SÃO JOSÉ,-27.59823,-48.62005
41,PEV - AEMFLO SEDE,SÃO JOSÉ,-27.61727,-48.64736
42,PEV - INAITEC,SÃO JOSÉ,-27.62273,-48.67552
43,PEV - Fundação M.A São José,SÃO JOSÉ,-27.55258,-48.65614
44,PEV - COND. EMPRESARIAL PEDRA BRANCA,PALHOÇA,-27.6257,-48.67956
45,"PEV - ACIP SEDE",PALHOÇA,-27.64393,-48.66492
46,PEV - ILUMINA PIRABEIRAB,JOINVILLE,-26.20493,-48.91089
48,PEV - ÁGORA TECH PARK,JOINVILLE,-26.24257,-48.8833
49,PEV - UDESC,JOINVILLE,-26.2527,-48.85575
50,PEV - MESSIAS COSTA E SILVA,JOINVILLE,-26.27309,-48.87202
51,PEV - FUNDAMAS CASA E CONSTRUÇÃO,JOINVILLE,-26.28448,-48.7809
52,PEV - SHOPPING MUELLER,JOINVILLE,-26.30451,-48.84936
53,PEV - CRH EMPREENDIMENTOS,JOINVILLE,-26.31596,-48.86344
54,PEV - TIGRE,JOINVILLE,-26.31616,-48.86367
55,PEV - PARQUE HANSEN,JOINVILLE,-26.3163,-48.85988
56,PEV - TIGRE,JOINVILLE,-26.31744,-48.85965
57,PEV - CONSTROI,JOINVILLE,-26.3306,-48.80068
58,PEV - CASA MIL,JOINVILLE,-26.34354,-48.77371
59,PEV - CETEL,JOINVILLE,-26.35471,-48.83499
60,PEV - PJ,JOINVILLE,-26.36206,-48.81289
61,PEV - CASA FELIZ,JOINVILLE,-26.36092,-48.80757
62,PEV - HIPERLAR,ARAQUARI,-26.41309,-48.79361
63,PEV - WEG TINTAS,GUARAMIRIM,-26.45951,-48.94174
64,PEV - CASTERTECH SCHROEDER,SCHROEDER,-26.4059,-49.09051
65,PEV - LECIMAR CONFECÇÕES,JARAGUÁ DO SUL,-26.44641,-49.0564
66,PEV - NOVALE,JARAGUÁ DO SUL,-26.46229,-49.12199
67,PEV - CATÓLICA - SC,JARAGUÁ DO SUL,-26.44686,-49.1152
68,PEV - WEG I,JARAGUÁ DO SUL,-26.47905,-49.0936
69,PEV - IFSC - CENTRO,JARAGUÁ DO SUL,-26.47734,-49.09002
70,PEV - UNISOCIESC,JARAGUÁ DO SUL,-26.47944,-49.08435
71,PEV - CDL JARAGUÁ DO SUL - SEDE,JARAGUÁ DO SUL,-26.47921,-49.09025
72,PEV - RECICLA DAY,JARAGUÁ DO SUL,-26.49395,-49.08199
73,PEV - SIPAR,JARAGUÁ DO SUL,-26.4972,-49.07953
74,PEV - WEG II,JARAGUÁ DO SUL,-26.47852,-49.04975
