CD_MUN,NM_MUN,AREA_KM2,CD_RGI,NM_RGI
4216602,São José,150.499,420001,Florianópolis
4218004,Tijucas,279.263,420020,Itajaí
4216305,São João Batista,200.765,420021,Brusque
4218905,Urubici,1021.371,420005,Lages
4215901,São Bonifácio,461.438,420001,Florianópolis
4209409,Laguna,333.259,420003,Tubarão
4200705,Alfredo Wagner,733.489,420001,Florianópolis
4206009,Governador Celso Ramos,127.556,420001,Florianópolis
4215604,Santa Rosa de Lima,203.218,420003,Tubarão
4201208,Antônio Carlos,234.422,420001,Florianópolis
4214300,Rancho Queimado,286.461,420001,Florianópolis
4207304,Imbituba,181.577,420001,Florianópolis
4215703,Santo Amaro da Imperatriz,344.235,420001,Florianópolis
4210209,Major Gercino,306.058,420021,Brusque
4202602,Bom Retiro,1057.034,420005,Lages
4207403,Imbuia,119.113,420024,Ituporanga
4205704,Garopaba,114.773,420001,Florianópolis
4200903,Angelina,499.998,420001,Florianópolis
4217105,São Martinho,224.566,420003,Tubarão
4202305,Biguaçu,365.755,420001,Florianópolis
4205407,Florianópolis,674.844,420001,Florianópolis
4217253,São Pedro de Alcântara,139.196,420001,Florianópolis
4207205,Imaruí,542.238,420003,Tubarão
4200606,Águas Mornas,326.66,420001,Florianópolis
4201109,Anitápolis,540.636,420001,Florianópolis
4208500,Ituporanga,336.588,420024,Ituporanga
4204194,Chapadão do Lageado,124.866,420024,Ituporanga
4209805,Leoberto Leal,293.6,420024,Ituporanga
4203709,Canelinha,150.904,420021,Brusque
4212304,Paulo Lopes,446.165,420001,Florianópolis
4211900,Palhoça,394.85,420001,Florianópolis
